"International Institute of Information Technology"-3-e,"IIIT Hyderabad"-3-w,"Qualcomm"-7-w,
"South Point High School, Kolkata"-13-e,"Heritage Institute of Technology"-4-e,"Tata Consultancy Services"-6-w,
"Heritage Institute of Technology"-4-e,"Indian Institute of Technology, Kanpur"-2-e,"Indian Institute of Technology, Kanpur"-1-w,"Cisco"-3-w,"Dialpad"-4-w,
"Heritage Institute of Technology"-4-e,"Tata Consultancy Services"-3-w,"ITC Infotech"-1-w,
"Tata Consultancy Services"-1-w,"Teknowledge Software (Teks Mobile)"-1-w,"Continental"-2-w,"Matrix Media Solutions (P) Ltd"-4-w,
"Heritage Institute of Technology"-3-e,"Tata Consultancy Services"-4-w,"ABB"-1-w,"EXL"-1-w,"Deloitte"-2-w,
"Indian Institute of Technology, Guwahati"-0-w,"Indian Institute of Technology, Kanpur"-1-e,"Indian Institute of Technology, Kanpur"-2-w,"National Institute of Foundry and Forge Technology (NIFFT)"-1-w,"Oklahoma State University"-4-w,
"Heritage Institute of Technology"-4-e,"Indian Institute of Technology, Madras"-3-e,"Indian Institute of Technology, Madras"-3-w,"Samsung Electronics"-6-w,
"Indian Institute of Technology, Kharagpur"-2-e,"Cypress Semiconductor Corporation"-3-w,"Infineon"-1-w,"Cisco"-1-w,"SafeAI, Inc."-1-w,
"Heritage Institute of Technology"-4-e,"Infosys"-1-w,"Indian Institute of Technology, Bombay"-3-e,"John Deere"-1-w,"IBM ISDL"-1-w,
"Heritage Institute of Technology"-4-e,"Globsyn Group"-0-w,"Ericsson"-2-w,"Indian Institute of Technology, Kharagpur"-2-e,"Indian Institute of Technology, Kharagpur"-1-w,"Micron Technology"-2-w,"Texas Instruments"-1-w,
"Indian Institute of Management, Calcutta"-0-w,"Indian Institute of Technology, Bombay"-3-e,"SAMSUNG R&amp;D INSTITUTE INDIA - BANGALORE PRIVATE LIMITED"-3-w,"LinkedIn"-2-w,
